original_smiles,SMILES,activity,canonical_smiles,value_transformed
NC(=O)c1cc(N2CCC(N3CCOCC3)CC2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,NC(=O)c1cc(N2CCC(N3CCOCC3)CC2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,6.58,NC(=O)c1cc(N2CCC(N3CCOCC3)CC2)nc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,-0.09912729133736387
O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,5.76,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,-0.3040325979272253
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,5.0,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,-0.5124699912223732
COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cn1,COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cn1,5.83,COc1cnc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cn1,-0.28584724336577233
CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,6.46,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,-0.1281046963370169
N#C[C@@H]1CN(C(=O)OCCN2CCCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,N#C[C@@H]1CN(C(=O)OCCN2CCCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,5.96,N#C[C@@H]1CN(C(=O)OCCN2CCCC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,-0.2524517799096112
CNC(=O)c1cnc2[nH]ccc2c1NC1CCCN(Cc2ccccc2)CC1,CNC(=O)c1cnc2[nH]ccc2c1NC1CCCN(Cc2ccccc2)CC1,7.05,CNC(=O)c1cnc2[nH]ccc2c1NC1CCCN(Cc2ccccc2)CC1,0.011579979233187057
COC(=O)[C@@H](N)CCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,COC(=O)[C@@H](N)CCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,9.34,COC(=O)[C@@H](N)CCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,0.5036920911056023
N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.52,N#C[C@H]1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,0.11836978659602962
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)/C=C/c4c[nH]c5ccccc45)c3)c12,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)/C=C/c4c[nH]c5ccccc45)c3)c12,5.83,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)/C=C/c4c[nH]c5ccccc45)c3)c12,-0.28584724336577233
